1	1	1	QC	0	ROOT
2	Nov	Nov	XC	6	mod
3	Radio	Radio	XC	6	mod
4	mantra	mantra	XC	6	mod
5	Bhavishyavani	Bhavishyavani	XC	6	mod
6	v24327न्यूज़	v24327न्यूज़	NNP	0	ROOT
7	60	60	QC	11	mod
8	सेकेंड	सेकेंड	XC	11	mod
9	’	’	XC	11	mod
10	मेंJEE	मेंJEE	XC	11	mod
11	Mains	Mains	NNP	0	ROOT
12	में	में	PSP:में	11	lwg__psp
13	पूरे	पूरा	JJ	14	nmod__adj
14	नंबर	नंबर	NN	16	k2
15	हासिल	हासिल	VM	16	pof
16	कर	कर	VAUX	0	ROOT
17	कल्पित	कल्पित	JJ	0	ROOT
18	ने	ने	PSP:ने	17	lwg__psp
19	रचा	रचा	VM	22	mod
20	इतिहास	इतिहास	NN	22	mod
21	JEE	JEE	JJ	22	nmod__adj
22	Mains	Mains	NN	0	ROOT
23	में	में	PSP:में	22	lwg__psp
24	पूरे	पूरा	JJ	25	nmod__adj
25	नंबर	नंबर	NN	27	k2
26	हासिल	हासिल	VM	27	pof
27	कर	कर	VAUX	0	ROOT
28	कल्पित	कल्पित	JJ	0	ROOT
29	ने	ने	PSP:ने	28	lwg__psp
30	रचा	रचा	VM	0	ROOT
31	इतिहास	इतिहास	NN	0	ROOT
32	‘	‘	NN	0	ROOT
33	फौजी	फौजी	JJ	34	nmod__adj
34	हेयरकट	हेयरकट	NNP	36	k2p
35	नहीं	नहीं	NEG	36	lwg__neg
36	समझे	समझ	VM	0	ROOT
37	छात्र	छात्र	NN	0	ROOT
38	तो	तो	RP	37	lwg__rp
39	लिया	ले	VM	0	ROOT
40	योगी	योगी	NN	42	r6
41	का	का	PSP:का	40	lwg__psp
42	नाम	नाम	NN	0	ROOT
43	’	’	JJ	44	nmod__adj
44	ALERT!	ALERT!	NN	0	ROOT
45	2	2	QC	0	ROOT
46	Oct	Oct	XC	50	mod
47	Radio	Radio	XC	50	mod
48	mantra	mantra	XC	50	mod
49	Bhavishyavani	Bhavishyavani	XC	50	mod
50	v23511न्यूज़	v23511न्यूज़	NNP	0	ROOT
51	60	60	QC	55	mod
52	सेकेंड	सेकेंड	XC	55	mod
53	’	’	XC	55	mod
54	मेंJEE	मेंJEE	XC	55	mod
55	Mains	Mains	NNP	0	ROOT
56	में	में	PSP:में	55	lwg__psp
57	पूरे	पूरा	JJ	58	nmod__adj
58	नंबर	नंबर	NN	60	k2
59	हासिल	हासिल	VM	60	pof
60	कर	कर	VAUX	0	ROOT
61	कल्पित	कल्पित	JJ	0	ROOT
62	ने	ने	PSP:ने	61	lwg__psp
63	रचा	रचा	VM	66	mod
64	इतिहास	इतिहास	NN	66	mod
65	JEE	JEE	JJ	66	nmod__adj
66	Mains	Mains	NN	0	ROOT
67	में	में	PSP:में	66	lwg__psp
68	पूरे	पूरा	JJ	69	nmod__adj
69	नंबर	नंबर	NN	71	k2
70	हासिल	हासिल	VM	71	pof
71	कर	कर	VAUX	0	ROOT
72	कल्पित	कल्पित	JJ	0	ROOT
73	ने	ने	PSP:ने	72	lwg__psp
74	रचा	रचा	VM	0	ROOT
75	इतिहास	इतिहास	NN	0	ROOT
76	‘	‘	NN	0	ROOT
77	फौजी	फौजी	JJ	78	nmod__adj
78	हेयरकट	हेयरकट	NNP	80	k2p
79	नहीं	नहीं	NEG	80	lwg__neg
80	समझे	समझ	VM	0	ROOT
81	छात्र	छात्र	NN	0	ROOT
82	तो	तो	RP	81	lwg__rp
83	लिया	ले	VM	0	ROOT
